lin_pos_x,lin_pos_y,lin_pos_z,lin_vel_x,lin_vel_y,lin_vel_z,lin_acc_x,lin_acc_y,lin_acc_z,angle_roll,angle_pitch,angle_yaw,ang_rate_p,ang_rate_q,ang_rate_r,ang_acc_alpha_x,ang_acc_alpha_y,ang_acc_alpha_z,U_1,U_2,U_3,U_4
0.15546544882466587,-0.05633875019160943,1.1579495913311029,-0.181177904327684,-0.5398184617711542,0.050576795543847745,2.0806968680377094,1.5880102465363133,-1.1329855537228601,0.503075142245503,0.4029770129567588,-0.1534967597263054,-3.5535678739915704,2.946061277031477,4.248616442400026,-30.634506014694473,-13.351457594599177,-27.47114921591168,0.8046636084013246,-0.47042187121979445,0.526341918922838,-0.13365777540540713
0.15225929730642662,-0.06681631088044714,1.1587337952017451,-0.139373887760875,-0.5078772822486427,0.027806845045874426,2.0997047886467133,1.6061077057153434,-1.1440094960751672,0.4260954348359596,0.45906513764842033,-0.07399296895826558,-4.133475303274963,2.65461072562542,3.7030472225766338,-27.356236913644793,-15.793597546006659,-27.085772766427663,0.8084817041674408,-0.4577564850030863,0.48924326266538354,-0.15855341248102361
0.14989224507322768,-0.07665052292725379,1.1590605684390551,-0.09730710734456098,-0.4754383195808667,0.004842390465480949,2.1069732529846528,1.6377885610622638,-1.1524359619641744,0.33870094513964144,0.5085993357147267,-0.005218472537849586,-4.56866047876134,2.278844234155185,3.1809377455734094,-16.162280634993028,-21.783051601016826,-25.125174933894783,0.8092761457008117,-0.44885187164321105,0.4512760922008604,-0.17968759517405894
0.14836614603264134,-0.08582780302657429,1.1589269732774874,-0.055370373928674915,-0.4420932613469665,-0.01819969554650825,2.0867000886039664,1.6967172623277387,-1.1517726392347465,0.24526661756868048,0.5494243566434855,0.053565468024778816,-4.716205371771528,1.7838951870136242,2.706967342586391,1.4077913339743233,-27.711853113139234,-22.27186536480705,0.7984285951996958,-0.45833019048399115,0.4238805463748614,-0.17973310815346483
0.14767165632683954,-0.09432414944449297,1.1583340001876792,-0.014299708898956057,-0.4072326126171469,-0.04102884598587833,2.0203664143679303,1.7893476106542006,-1.1311424047022605,0.15244015661919397,0.5793693527288251,0.10342094819580046,-4.5056363122196545,1.2010775699050729,2.287105994128535,19.649114621213055,-30.5699085977159,-19.71426948097854,0.7690641678240494,-0.4940349774884548,0.415131648350276,-0.15000288130352318
0.1477811022445329,-0.10210244246529988,1.157290648672942,0.024812641308237002,-0.3701722039932848,-0.06313361119181257,1.8908686063513673,1.9166932517320217,-1.0793341158911631,0.06719100567940028,0.5972555929759589,0.14539725350628013,-3.972591162741862,0.5864799832370872,1.919376503124666,33.655400326566216,-30.889850069082673,-17.058679619408384,0.7210794118862254,-0.5544091766113592,0.42569771212939544,-0.09217484397430442
0.1486418364067315,-0.10911226161376723,1.1558181892455859,0.06057615564980749,-0.3302953968008493,-0.0838083505608893,1.6854828278057097,2.070987467511581,-0.9881398210165679,-0.00504084986014286,0.6028683929982568,0.18060161662259155,-3.226150008713417,-0.022141462438654627,1.6124882573914667,40.988715076278346,-29.9722944984915,-13.630144953911525,0.6612819309447329,-0.631069364230967,0.45059343241322236,-0.013827054350621482
0.15017126945639706,-0.11529313771663417,1.1539532471934268,0.09140781787215778,-0.28725049650345735,-0.10224320849188227,1.3976833944293108,2.2335025622276006,-0.8553459720827162,-0.06131227154956942,0.5964807312089733,0.21036504216370672,-2.398300386749943,-0.6141433985303226,1.3758387659234508,41.79624712006902,-29.227899110675306,-10.034804192890075,0.5993876765416049,-0.7134830273027891,0.4822074249187629,0.0
0.15225433340630828,-0.12058160765403965,1.1517486089389908,0.11566712279807508,-0.2411045232261826,-0.11765586146079825,1.0282470981624372,2.381094765499908,-0.6859193248088977,-0.10118449016023129,0.57836558464326,0.23604832641225687,-1.6021944893000704,-1.19670619668958,1.201163147364528,37.814342624918254,-29.028380705250438,-7.432757663002212,0.5436271902160711,-0.793129058770716,0.5127075182887306,0.0
0.1547438262159149,-0.1249203045137297,1.1492712674453076,0.1318072048632171,-0.19240643015613695,-0.12943030788276919,0.5857611083517449,2.4887145415046916,-0.4915253173881903,-0.1261316413849362,0.5486757741254447,0.2586496981080195,-0.9158271313547818,-1.769775377240644,1.0622070362653584,30.822393169610613,-28.27853734985594,-6.46285344691475,0.4987039444648586,-0.8644268588747586,0.5358016677804159,0.0
0.15746376935699785,-0.12826759879398808,1.1465980669803233,0.1385194503524947,-0.1421684271415317,-0.13720420080821016,0.08546344057604505,2.5350857599557974,-0.2858639751559262,-0.13877339869062666,0.5077997913174461,0.2785453146205291,-0.3728332648400998,-2.3090612932199335,0.9245569388148779,23.476993481857583,-25.650054248073015,-7.302156298133309,0.4649423627221542,-0.9,0.5483993487678742,0.0
